Product,City,Product Revenue,Normalization
Google Tee F/C Black,Thousand Oaks,34.07,0.39856344
Google Tee F/C Black,Apopka,34.07,0.39856344
Google Tee F/C Black,Hallandale Beach,34.07,0.39856344
Google Tee F/C Black,Chicago,34.07,0.39856344
Google Tee F/C Black,Mount Prospect,34.07,0.39856344
Google Tee F/C Black,Biloxi,34.07,0.39856344
Google Tee F/C Black,Omaha,34.07,0.39856344
Google Tee F/C Black,Pittsburgh,34.07,0.39856344
Google Tee F/C Black,Punxsutawney,34.07,0.39856344
Google Tee F/C Black,Austin,34.07,0.39856344
Google Tee F/C Black,El Paso,34.07,0.39856344
Google Tee F/C Black,Mansfield,34.07,0.39856344
Google Tee F/C Black,Kirkland,34.07,0.39856344
Google Tee Green,Sao Paulo,34.07,0.39856344
Google Tee Grey,Minneapolis,34.07,0.39856344
Google Tee Grey,Seattle,34.07,0.39856344
Google Tee Red,San Francisco,34.07,0.39856344
Google Tee Red,San Jose,34.07,0.39856344
Google Tee Red,Plano,34.07,0.39856344
Google Tee Red,Seattle,34.07,0.39856344
Google Tee White,Coquitlam,34.07,0.39856344
Google Tee White,Broomfield,34.07,0.39856344
Google Tee White,Independence,34.07,0.39856344
Google Tee White,Lafayette,34.07,0.39856344
Google Tee White,Punxsutawney,34.07,0.39856344
Google Tee White,Kirkland,34.07,0.39856344
Google Tee White,Seattle,34.07,0.39856344
Google Tee White,Madison,34.07,0.39856344
Google Tee Yellow,Bellflower,34.07,0.39856344
Google Tonal Tee Slate Grey,New York,34.07,0.39856344
Google Unisex Eco Tee Black,(not set),34.07,0.39856344
Google Unisex Eco Tee Black,Los Angeles,34.07,0.39856344
Google Unisex Eco Tee Black,Milpitas,34.07,0.39856344
Google Unisex Eco Tee Black,Denver,34.07,0.39856344
Google Unisex Eco Tee Black,Yonkers,34.07,0.39856344
Google Unisex Eco Tee Black,Austin,34.07,0.39856344
Google Women's Black Tee,Matthews,34.07,0.39856344
Google Women's Eco Tee Black,(not set),34.07,0.39856344
Google Women's Eco Tee Black,Denver,34.07,0.39856344
Google Women's Eco Tee Black,Mansfield,34.07,0.39856344
Google Women's Tee F/C Black,London,34.07,0.39856344
Google Women's Tee F/C Black,Brea,34.07,0.39856344
Google Women's Tee F/C Black,San Diego,34.07,0.39856344
Google Women's Tee F/C Black,Des Moines,34.07,0.39856344
Google Women's Tee F/C Black,Matthews,34.07,0.39856344
Google Women's Tee F/C Black,Goose Creek,34.07,0.39856344
Google Women's Tee F/C Black,Stafford,34.07,0.39856344
Google Women's Tee F/C Black,Seattle,34.07,0.39856344
Google Women's Tee Grey,(not set),34.07,0.39856344
Google Women's Tee Grey,Seattle,34.07,0.39856344
Google Women's White Tee,San Francisco,34.07,0.39856344
Google Women's White Tee,Apopka,34.07,0.39856344
Google Women's White Tee,Matthews,34.07,0.39856344
YouTube Icon Tee Charcoal,Copenhagen,34.07,0.39856344
YouTube Icon Tee Charcoal,New York,34.07,0.39856344
YouTube Icon Tee Grey,Bellbrook,34.07,0.39856344
YouTube Tee Black,Taylorsville,34.07,0.39856344
Google Maps Pin,Louisville,32.53,0.380547952
Google Pen Navy,New York,32.53,0.380547952
Google Sunglasses,Nashville,32.53,0.380547952
Google 24 oz Ring Bottle Red,New York,32.49,0.380080017
Google 24oz Ring Bottle Blue,San Jose,32.49,0.380080017
YouTube Small Sticker Sheet,Manteca,32.43,0.379378115
Unisex Google Color Block Tee White,Oak Brook,31.45,0.367913713
Unisex Google Color Block Tee White,Kansas City,31.45,0.367913713
Unisex Google Jumbo Print Tee White,Mexico City,31.45,0.367913713
Unisex Google Jumbo Print Tee White,Portland,31.45,0.367913713
Google Campus Bike Eco Tee Navy,Santa Clara,30.99,0.362532463
Google Laptop Sleeve Charcoal,Mexico City,30.99,0.362532463
Google Laptop Sleeve Charcoal,Stockton,30.99,0.362532463
Google Mouse Pad Navy,Austin,30.99,0.362532463
Google Mural Sticky Note Pad,Wexford,30.99,0.362532463
Google Packable Bag Black,Stockton,30.99,0.362532463
Google Speckled Beanie Grey,Mexico City,30.99,0.362532463
Google Speckled Beanie Navy,Fort Worth,30.99,0.362532463
Google Utility Bag Grey,Anaheim,30.99,0.362532463
Stan and Friends Tee Green,Santa Clara,30.99,0.362532463
Google Laptop Sleeve Charcoal,Los Angeles,30.97,0.362298496
Google Laptop Sleeve Charcoal,Arlington,30.97,0.362298496
Google Laptop Sleeve Charcoal,New York,30.97,0.362298496
Google Packable Bag Black,Simi Valley,30.97,0.362298496
Google Packable Bag Black,Northbrook,30.97,0.362298496
Google Packable Bag Black,Arlington,30.97,0.362298496
Google Packable Bag Black,New York,30.97,0.362298496
Google Packable Bag Black,Punxsutawney,30.97,0.362298496
Google Perk Thermal Tumbler,Plano,30.97,0.362298496
Google Perk Thermal Tumbler,Breezy Point,30.97,0.362298496
Google Premium Sunglasses,Oklahoma City,30.97,0.362298496
Google Snapback Black Cap,Oklahoma City,30.97,0.362298496
Google Snapback Navy Cap,San Francisco,30.97,0.362298496
Google Fold-over Beanie Grey,New York,30.95,0.362064528
YouTube Pen 2-Pack,New York,30.94,0.361947545
Google Clear Pen 4-Pack,New York,30.92,0.361713577
Google Phone Stand Bamboo,(not set),30.92,0.361713577
Google Phone Stand Bamboo,North Laurel,30.92,0.361713577
7in Dog Frisbee,Los Angeles,30.21,0.353407735
Google Beanie Olive,New York,29.42,0.344166023
Android 25 oz Gear Cap Bottle White,Fremont,29.27,0.342411268
Android 25 oz Gear Cap Bottle White,Mountain View,29.27,0.342411268
Android 25 oz Gear Cap Bottle White,Atlanta,29.27,0.342411268
Youth Google Pocket Tee Blue,Redmond,28.2,0.329894013
Android Tone Hoodie Black,Cupertino,27.89,0.326267518
Android Tone Hoodie Black,San Francisco,27.89,0.326267518
Android Tone Hoodie Black,Chicago,27.89,0.326267518
Android Tone Hoodie Black,Boston,27.89,0.326267518
Android Tone Hoodie Black,Albuquerque,27.89,0.326267518
Android Tone Hoodie Black,Pottstown,27.89,0.326267518
Android Tone Hoodie Black,Norwood,27.89,0.326267518
Google Thermal Tumbler Navy,The Woodlands,27.89,0.326267518
Google Thermal Tumbler Navy,Burnaby,27.87,0.326033551
Google Thermal Tumbler Navy,Anaheim,27.87,0.326033551
Google Thermal Tumbler Navy,Hawthorne,27.87,0.326033551
Google Thermal Tumbler Navy,Los Angeles,27.87,0.326033551
Google Thermal Tumbler Navy,Redmond,27.87,0.326033551
Google Mesh Bag Blue,New York,27.84,0.3256826
Google Mesh Bag Blue,Portland,27.84,0.3256826
Google Mesh Bag Red,Los Angeles,27.84,0.3256826
Google Mesh Bag Red,Portland,27.84,0.3256826
Google Metallic Notebook Set,Portland,27.84,0.3256826
Google Small Cable Organizer Blue,Oklahoma City,27.79,0.325097681
Google Tonal Tee Coral,Santa Cruz,27.25,0.318780562
Google Tonal Tee Fog,Oakland,27.25,0.318780562
Google Tonal Tee Spearmint,Toronto,27.25,0.318780562
YouTube Tee Black,Seattle,27.25,0.318780562
YouTube Tee Black,Morgantown,27.25,0.318780562
Android Skate Kids Tee,Villas,27.11,0.31714279
Google Pen White,Santa Clara,27.11,0.31714279
Android Diamond Tee,Sao Paulo,27.1,0.317025807
Android Diamond Tee,Fuzhou,27.1,0.317025807
Android Diamond Tee,San Bernardino,27.1,0.317025807
Android Diamond Tee,Georgetown,27.1,0.317025807
Android Hexagon Tee,Fuzhou,27.1,0.317025807
Android Hexagon Tee,Georgetown,27.1,0.317025807
Android Mountains Tee,San Bernardino,27.1,0.317025807
Android Mountains Tee,Roxborough Park,27.1,0.317025807
Android Youth Explorer Tee,Bengaluru,27.1,0.317025807
Android Leather Strap Hat Black,Palo Alto,26.34,0.308135046
Google Crew Combed Cotton Sock,Tracy,26.34,0.308135046
Google Leather Strap Hat Blue,Pembroke Pines,26.34,0.308135046
Google Leather Strap Hat Blue,Fort Worth,26.34,0.308135046
Google Mural Mug,Portland,26.34,0.308135046
YouTube Leather Strap Hat Black,Santa Clara,26.34,0.308135046
YouTube Leather Strap Hat Black,Jersey City,26.34,0.308135046
YouTube Leather Strap Hat Black,New York,26.34,0.308135046
YouTube Leather Strap Hat Black,Portland,26.34,0.308135046
Campus Corkbase Mug Blue,Mountain Top,26.32,0.307901079
Google Crew Combed Cotton Sock,San Bruno,26.32,0.307901079
Google Crew Combed Cotton Sock,Arlington,26.32,0.307901079
Google Crew Striped Athletic Sock,Cherry Hill,26.32,0.307901079
Google Crew Socks,Cumming,24.79,0.290002574
Google Crew Socks,Strongsville,24.79,0.290002574
Google Crew Socks,Kutztown,24.79,0.290002574
Google Keychain,Cumming,24.79,0.290002574
Google Large Standard Journal Grey,Bolingbrook,24.79,0.290002574
Google Large Standard Journal Grey,Oak Brook,24.79,0.290002574
Google Large Standard Journal Grey,Austin,24.79,0.290002574
Noogler Android Figure 2019,Palo Alto,24.79,0.290002574
Noogler Android Figure 2019,Cumming,24.79,0.290002574
Noogler Android Figure 2019,New York,24.79,0.290002574
Noogler Android Figure 2019,Philadelphia,24.79,0.290002574
YouTube Crew Socks,Woodstock,24.79,0.290002574
YouTube Crew Socks,Wexford,24.79,0.290002574
YouTube Transmission Journal Red,(not set),24.79,0.290002574
YouTube Transmission Journal Red,Las Vegas,24.79,0.290002574
YouTube Transmission Journal Red,New York,24.79,0.290002574
Android Crew Socks Summer 18,Escondido,24.77,0.289768606
Android Crew Socks Summer 18,Orlando,24.77,0.289768606
Android Large Trace Journal Black,Georgetown,24.77,0.289768606
Android Puzzlebot v2,Chicago,24.77,0.289768606
Android Puzzlebot v2,Houston,24.77,0.289768606
Google Crew Socks,Hartford,24.77,0.289768606
Google Crew Socks Summer 18,Burbank,24.77,0.289768606
Google Crew Socks Summer 18,Elgin,24.77,0.289768606
Google Crew Socks Summer 18,Charlotte,24.77,0.289768606
Google Crew Socks Summer 18,Raleigh,24.77,0.289768606
Google Large Standard Journal Grey,Los Angeles,24.77,0.289768606
Google Large Standard Journal Grey,Elkridge,24.77,0.289768606
Google Large Standard Journal Grey,Blacksburg,24.77,0.289768606
Google Large Standard Journal Grey,Linganore-Bartonsville,24.77,0.289768606
Google Large Standard Journal Navy,Elkridge,24.77,0.289768606
Google Leather Strap Hat Blue,Oklahoma City,24.77,0.289768606
Google Leather Strap Hat Red,New York,24.77,0.289768606
Google Leather Strap Hat Red,Austin,24.77,0.289768606
Noogler Android Figure 2019,Bengaluru,24.77,0.289768606
Noogler Android Figure 2019,Oakland,24.77,0.289768606
Noogler Android Figure 2019,South Lake Tahoe,24.77,0.289768606
Noogler Android Figure 2019,Sunnyvale,24.77,0.289768606
Noogler Android Figure 2019,Houston,24.77,0.289768606
YouTube Crew Socks,San Bruno,24.77,0.289768606
YouTube Crew Socks,San Jose,24.77,0.289768606
YouTube Crew Socks Summer 18,Burbank,24.77,0.289768606
YouTube Crew Socks Summer 18,Orlando,24.77,0.289768606
YouTube Leather Strap Hat Black,Newark,24.77,0.289768606
YouTube Leather Strap Hat Black,Mountain Top,24.77,0.289768606
YouTube Transmission Journal Black,Garden Grove,24.77,0.289768606
YouTube Transmission Journal Black,San Francisco,24.77,0.289768606
YouTube Transmission Journal Black,Newburgh,24.77,0.289768606
YouTube Transmission Journal Black,Pike Creek,24.77,0.289768606
YouTube Transmission Journal Black,Roseville,24.77,0.289768606
Android Buoy Bottle,Oxford,24.76,0.289651623
Google Magnet,Breezy Point,24.76,0.289651623
YouTube Pen 2-Pack,Waterford Township,24.73,0.289300671
YouTube Kids Onesie White,Santa Clara,24.17,0.282749585
YouTube Wordmark Crew Grey,San Jose,24.17,0.282749585
YouTube Wordmark Crew Grey,New York,24.17,0.282749585
YouTube Wordmark Crew Grey,Dix Hills,24.17,0.282749585
Google Bike Tee Navy,Muncie,23.86,0.27912309
Google Tee Blue,Campbell,23.86,0.27912309
Google Tee Blue,Union City,23.86,0.27912309
Google Tee Blue,Muncie,23.86,0.27912309
Google Tee Blue,Knoxville,23.86,0.27912309
Google Tee Green,Union City,23.86,0.27912309
Google Tee Red,Union City,23.86,0.27912309
Google Tee Red,Tampa,23.86,0.27912309
Google Tee Red,Chicago,23.86,0.27912309
Google Tee Red,New York,23.86,0.27912309
Google Tee Red,San Antonio,23.86,0.27912309
Google Tee White,Campbell,23.86,0.27912309
Google Tee White,Long Beach,23.86,0.27912309
Google Tee White,Palo Alto,23.86,0.27912309
Google Tee White,Union City,23.86,0.27912309
Google Tee White,Quakertown,23.86,0.27912309
Google Tee White,Arlington,23.86,0.27912309
Google Tee Yellow,Virginia Beach,23.86,0.27912309
Google Bike Tee Navy,San Jose,23.84,0.278889123
Google Bike Tee Navy,Atlanta,23.84,0.278889123
Google Bike Tee Navy,Bolingbrook,23.84,0.278889123
Google Bike Tee Navy,Dallas,23.84,0.278889123
Google Bike Tee Navy,Garland,23.84,0.278889123
Google Bike Tee Navy,Mansfield,23.84,0.278889123
Google Shoreline Tonal Tee Maroon,Honolulu,23.84,0.278889123
Google Shoreline Tonal Tee Maroon,New York,23.84,0.278889123
Google Shoreline Tonal Tee Olive,Fuzhou,23.84,0.278889123
Google Shoreline Tonal Tee Olive,Murrieta,23.84,0.278889123
Google Shoreline Tonal Tee Olive,Sacramento,23.84,0.278889123
Google Shoreline Tonal Tee Olive,Nether Providence Township,23.84,0.278889123
Google Tee Blue,(not set),23.84,0.278889123
Google Tee Blue,Hayward,23.84,0.278889123
Google Tee Blue,Claymont,23.84,0.278889123
Google Tee Blue,Basehor,23.84,0.278889123
Google Tee Blue,Franklin,23.84,0.278889123
Google Tee Blue,Mansfield,23.84,0.278889123
Google Tee Blue,Seattle,23.84,0.278889123
Google Tee Blue,Linganore-Bartonsville,23.84,0.278889123
Google Tee Green,Bolingbrook,23.84,0.278889123
Google Tee Green,New York,23.84,0.278889123
Google Tee Green,Dallas,23.84,0.278889123
Google Tee Green,Bainbridge Island,23.84,0.278889123
Google Tee Grey,Los Angeles,23.84,0.278889123
Google Tee Grey,Chicago,23.84,0.278889123
Google Tee Grey,New York,23.84,0.278889123
Google Tee Grey,Westerville,23.84,0.278889123
Google Tee Grey,Pittsburgh,23.84,0.278889123
Google Tee Grey,Mansfield,23.84,0.278889123
Google Tee Red,Cupertino,23.84,0.278889123
Google Tee Red,Hayward,23.84,0.278889123
Google Tee Red,Mountain View,23.84,0.278889123
Google Tee Red,Bainbridge Island,23.84,0.278889123
Google Tee White,(not set),23.84,0.278889123
Google Tee White,Gilroy,23.84,0.278889123
Google Tee White,Los Angeles,23.84,0.278889123
Google Tee White,San Francisco,23.84,0.278889123
Google Tee White,Walnut Creek,23.84,0.278889123
Google Tee White,Louisville,23.84,0.278889123
Google Tee White,Warren,23.84,0.278889123
Google Tee White,New Rochelle,23.84,0.278889123
Google Tee White,Philadelphia,23.84,0.278889123
Google Tee White,Nashville,23.84,0.278889123
Google Tee White,Austin,23.84,0.278889123
Google Tee White,Euless,23.84,0.278889123
Google Tee White,Leander,23.84,0.278889123
Google Tee White,Mansfield,23.84,0.278889123
Google Tee White,Hoover,23.84,0.278889123
Google Tee White,Short Pump,23.84,0.278889123
Google Tee White,Wall Township,23.84,0.278889123
Google Tee White,Willowbrook,23.84,0.278889123
Google Tee White,Bratislava,23.84,0.278889123
Google Tee Yellow,New York,23.84,0.278889123
Google Tee Yellow,Mansfield,23.84,0.278889123
Google Tee Yellow,East Palo Alto,23.84,0.278889123
Google Tonal Tee Coral,Bengaluru,23.84,0.278889123
Google Tonal Tee Coral,Atlanta,23.84,0.278889123
Google Tonal Tee Coral,Sikeston,23.84,0.278889123
Google Tonal Tee Coral,Raleigh,23.84,0.278889123
Google Tonal Tee Coral,Philadelphia,23.84,0.278889123
Google Tonal Tee Fog,Coquitlam,23.84,0.278889123
Google Tonal Tee Fog,Los Angeles,23.84,0.278889123
Google Tonal Tee Slate Grey,Coquitlam,23.84,0.278889123
Google Tonal Tee Slate Grey,Irvine,23.84,0.278889123
Google Tonal Tee Slate Grey,Honolulu,23.84,0.278889123
Google Tonal Tee Slate Grey,Sikeston,23.84,0.278889123
Google Tonal Tee Slate Grey,Dallas,23.84,0.278889123
Google Tonal Tee Spearmint,San Francisco,23.84,0.278889123
Google Tonal Tee Spearmint,Atlanta,23.84,0.278889123
Google Tonal Tee Spearmint,Chicago,23.84,0.278889123
Google Tonal Tee Spearmint,Raleigh,23.84,0.278889123
Google Tonal Tee Spearmint,Albuquerque,23.84,0.278889123
Google Women's White Tee,San Jose,23.84,0.278889123
Google Women's White Tee,Denver,23.84,0.278889123
Google Women's White Tee,Novi,23.84,0.278889123
Mind Blown Tee White,Budapest,23.84,0.278889123
YouTube Tee Black,Los Angeles,23.84,0.278889123
YouTube Tee Black,San Diego,23.84,0.278889123
YouTube Tee Black,Apopka,23.84,0.278889123
YouTube Tee Black,Hallandale Beach,23.84,0.278889123
YouTube Tee Black,Charlotte,23.84,0.278889123
YouTube Tee Black,Beaverton,23.84,0.278889123
YouTube Tee Black,Greer,23.84,0.278889123
YouTube Tee Black,Georgetown,23.84,0.278889123
YouTube Tee Black,Fairfax,23.84,0.278889123
YouTube Tee Black,Pike Creek,23.84,0.278889123
YouTube Tee Black,San Juan,23.84,0.278889123
YouTube Women's Favorite Tee White,Hallandale Beach,23.84,0.278889123
YouTube Women's Favorite Tee White,Auburn Hills,23.84,0.278889123
YouTube Women's Favorite Tee White,Seattle,23.84,0.278889123
Google Beanie Maroon,Santa Cruz,23.53,0.275262628
Google Heathered Pom Beanie,Boston,23.24,0.271870101
Google Heathered Pom Beanie,Raleigh,23.24,0.271870101
Google Heathered Pom Beanie,Kutztown,23.24,0.271870101
Google Color Block Tote White,San Francisco,23.22,0.271636134
Google Phone Stand Bamboo,New York,23.21,0.27151915
Google Clear Pen 4-Pack,Santa Clarita,23.19,0.271285183
Google Phone Stand Bamboo,Fremont,23.19,0.271285183
Unisex Google Color Block Tee White,Vista,22.46,0.262745373
Google Sunglasses,San Jose,21.69,0.253737629
Google Sunglasses,York,21.69,0.253737629
Android Sport Socks,Boulder,21.67,0.253503662
Google Sport Socks Summer 18,Thousand Oaks,21.67,0.253503662
Google Sport Socks Summer 18,Hicksville,21.67,0.253503662
Google Sport Socks Summer 18,Houston,21.67,0.253503662
Google Striped Accessory Pouch,Asbury Park,21.67,0.253503662
Google Striped Accessory Pouch,Portland,21.67,0.253503662
Google 24oz Ring Bottle Blue,Modesto,21.66,0.253386678
Google Separating Keyring,Karachi,21.66,0.253386678
Google Separating Keyring,New York,21.66,0.253386678
Maze Pen,Sunnyvale,21.47,0.251163988
Google Beanie Maroon,Tracy,20.59,0.240869423
Google Beanie Olive,Chicago,20.59,0.240869423
YouTube Tee Black,Las Vegas,20.45,0.239231651
Google Camp Mug Ivory,Chico,20.14,0.235605157
Google Camp Mug Ivory,Cumming,20.14,0.235605157
Google Camp Mug Ivory,Newton,20.14,0.235605157
Google Camp Mug Ivory,Charlotte,20.14,0.235605157
Google Camp Mug Ivory,Hicksville,20.14,0.235605157
Google Camp Mug Ivory,The Woodlands,20.14,0.235605157
Google Color Block Tote White,Phoenix,20.14,0.235605157
Google Large Tote White,(not set),20.14,0.235605157
Google Large Tote White,Santa Clara,20.14,0.235605157
Google Large Tote White,Derby,20.14,0.235605157
Google Relaxed Fit Hat Navy,San Leandro,20.14,0.235605157
Google Trucker Hat Black,Sunnyvale,20.14,0.235605157
Google Trucker Hat Black,Chicago,20.14,0.235605157
Google Twill Cap Charcoal,San Francisco,20.14,0.235605157
Google Twill Cap Charcoal,Noblesville,20.14,0.235605157
Google Twill Cap Charcoal,Baton Rouge,20.14,0.235605157
YouTube Kids Onesie White,Anaheim,20.14,0.235605157
YouTube Play Mug,(not set),20.14,0.235605157
YouTube Play Mug,Rohnert Park,20.14,0.235605157
YouTube Play Mug,Hicksville,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Flagstaff,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Fullerton,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Ontario,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Stamford,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Waltham,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Jersey City,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Dix Hills,20.14,0.235605157
YouTube Twill Sandwich Cap Black,Bayamon,20.14,0.235605157
Android Mug Gray,Tampa,20.12,0.235371189
Google 16 oz Tumbler Blue,(not set),20.12,0.235371189
Google 16 oz Tumbler Blue,Monroe,20.12,0.235371189
Google Camp Mug Ivory,Los Angeles,20.12,0.235371189
Google Camp Mug Ivory,Watertown,20.12,0.235371189
Google Camp Mug Ivory,Basehor,20.12,0.235371189
Google Camp Mug Ivory,Ann Arbor,20.12,0.235371189
Google Camp Mug Ivory,New York,20.12,0.235371189
Google Camp Mug Ivory,Houston,20.12,0.235371189
Google Camp Mug Ivory,Blacksburg,20.12,0.235371189
Google Campus Bike Tote Navy,Seongnam-si,20.12,0.235371189
Google Campus Bike Tote Navy,Breezy Point,20.12,0.235371189
Google Color Block Notebook,Fenton Township,20.12,0.235371189
Google Dad Hat Maroon,Tampa,20.12,0.235371189
Google Dad Hat Maroon,Redmond,20.12,0.235371189
Google Dad Hat Navy,New York,20.12,0.235371189
Google Dad Hat Navy,Coatesville,20.12,0.235371189
Google Hub Mug White,(not set),20.12,0.235371189
Google Hub Mug White,Bengaluru,20.12,0.235371189
Google Hub Mug White,Los Angeles,20.12,0.235371189
Google Hub Mug White,Vernon,20.12,0.235371189
Google Hub Mug White,Macomb,20.12,0.235371189
Google Hub Mug White,Mountain Top,20.12,0.235371189
Google Hub Mug White,Dallas,20.12,0.235371189
Google Hub Mug White,Waco,20.12,0.235371189
Google Large Tote Canvas,Burnaby,20.12,0.235371189
Google Large Tote Canvas,Hawthorne,20.12,0.235371189
Google Large Tote Canvas,Vernon,20.12,0.235371189
Google Large Tote Canvas,Watertown,20.12,0.235371189
Google Large Tote Canvas,Redmond,20.12,0.235371189
Google Large Tote White,Los Angeles,20.12,0.235371189
Google Large Tote White,Jersey City,20.12,0.235371189
Google Recycled Notebook Set Natural,(not set),20.12,0.235371189
Google Recycled Notebook Set Natural,Charlotte,20.12,0.235371189
Google Relaxed Fit Hat Navy,Mountain View,20.12,0.235371189
Google Relaxed Fit Hat Navy,Newark,20.12,0.235371189
Google Relaxed Fit Hat Navy,Boothbay Harbor,20.12,0.235371189
Google Small Standard Journal Navy,Matthews,20.12,0.235371189
Google Small Standard Journal Navy,Abington,20.12,0.235371189
Google Trucker Hat Black,(not set),20.12,0.235371189
Google Trucker Hat Black,Coquitlam,20.12,0.235371189
Google Trucker Hat Black,Chihuahua,20.12,0.235371189
Google Trucker Hat Black,Walnut Creek,20.12,0.235371189
Google Trucker Hat Black,Biloxi,20.12,0.235371189
Google Trucker Hat Black,Omaha,20.12,0.235371189
Google Trucker Hat Black,New York,20.12,0.235371189
Google Trucker Hat Black,Mountain Top,20.12,0.235371189
Google Twill Cap Charcoal,South Lake Tahoe,20.12,0.235371189
Google Twill Cap Charcoal,Matthews,20.12,0.235371189
Google Twill Cap Charcoal,Omaha,20.12,0.235371189
Google Twill Cap Charcoal,Seattle,20.12,0.235371189
Google Twill Cap Charcoal,San Juan,20.12,0.235371189
Google Twill Sandwich Cap Navy,Riverside,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Copenhagen,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Chihuahua,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Peoria,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Burlingame,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Escondido,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Riverside,20.12,0.235371189
YouTube Twill Sandwich Cap Black,New Haven,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Mableton,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Newburgh,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Lynnfield,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Albuquerque,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Hudson,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Philadelphia,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Greer,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Houston,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Chantilly,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Morgantown,20.12,0.235371189
YouTube Twill Sandwich Cap Black,Pike Creek,20.12,0.235371189
YouTube Twill Sandwich Cap Black,San Juan,20.12,0.235371189
Maze Pen,New York,19.97,0.233616434
Android Diamond Tee,Atlanta,19.37,0.226597412
Android Diamond Tee,Norwood,19.37,0.226597412
Android Youth Circle Tee,Campbell,19.37,0.226597412
Android Youth Explorer Tee,Boston,19.37,0.226597412
Android Youth Explorer Tee,Halton Hills,19.37,0.226597412
#IamRemarkable Unisex T-Shirt,Santa Clara,18.59,0.217472684
Google Color Block Notebook,Murrieta,18.59,0.217472684
Google Color Block Notebook,Westmere,18.59,0.217472684
Google Felt Strap Keyring,Washington,18.59,0.217472684
Google Recycled Writing Set,Austin,18.59,0.217472684
Google See-No Hear-No Set,San Leandro,18.59,0.217472684
Google Wallet Stand Black,Cumming,18.59,0.217472684
Waze Mood Happy Window Decal,Rockville,18.59,0.217472684
YouTube Kids Tee White,Irvine,18.59,0.217472684
Google See-No Hear-No Set,San Francisco,18.58,0.217355701
Google See-No Hear-No Set,Oklahoma City,18.58,0.217355701
Google Mesh Bag Blue,San Francisco,18.56,0.217121733
Google Mesh Bag Blue,Fox Point,18.56,0.217121733
Google Metallic Notebook Set,Foster City,18.56,0.217121733
Google Cloth & Pouch Black,New York,18.54,0.216887766
Google Laptop and Cell Phone Stickers,New York,18.54,0.216887766
Google Wallet Stand Black,San Jose,18.54,0.216887766
YouTube Pen 2-Pack,Garden Grove,18.54,0.216887766
Google Laptop and Cell Phone Stickers,Boston,18.53,0.216770782
Google Light Pen Blue,Santa Clarita,18.53,0.216770782
Google Small Cable Organizer Blue,North Laurel,18.53,0.216770782
Waze Women's Short Sleeve Tee,Seattle,17.66,0.206593201
Google Large Standard Journal Navy,(not set),17.35,0.202966706
Google Large Standard Journal Navy,Stockton,17.35,0.202966706
Google Sport Socks,Bolingbrook,17.35,0.202966706
Google Sport Socks,Jersey City,17.35,0.202966706
Google Sport Socks,The Woodlands,17.35,0.202966706
Google Sport Socks,Villas,17.35,0.202966706
Google Tri Pen Black,Auburn Hills,17.34,0.202849723
Google Tri Pen Black,Georgetown,17.34,0.202849723
Google Tri Pen Silver,Vernon,17.34,0.202849723
Google Tri Pen Silver,Auburn Hills,17.34,0.202849723
Google Tri Pen Silver,Alliance,17.34,0.202849723
YouTube Flex Journal Black,San Francisco,17.32,0.202615755
Android Matrix Tee White,Scottsdale,17.04,0.199340212
Android Women's Peace Tee Black,Sao Paulo,17.04,0.199340212
Android Women's Peace Tee Black,San Bernardino,17.04,0.199340212
Android Women's Peace Tee Black,San Francisco,17.04,0.199340212
Android Women's Peace Tee Black,Auburn Hills,17.04,0.199340212
Android Women's Peace Tee Black,New York,17.04,0.199340212
Android Women's Peace Tee Black,Seattle,17.04,0.199340212
Google Campus Bike Tote Navy,Redmond,17.04,0.199340212
Google Pride Tote Black,(not set),17.04,0.199340212
Google Stylus Pen w/ LED Light,New York,17.04,0.199340212
Google Stylus Pen w/ LED Light,Houston,17.04,0.199340212
Google Stylus Pen w/ LED Light,Hoover,17.04,0.199340212
Google Tee Blue,Winnipeg,17.04,0.199340212
Google Tee Red,Anaheim,17.04,0.199340212
Google Tee Red,Villas,17.04,0.199340212
Google Tee White,Hockessin,17.04,0.199340212
Google Tee Yellow,Louisville,17.04,0.199340212
